Ao,#008000
Jet,#343434
Red,#FF0000
Tan,#D2B48C
Ube,#8878C3
Acid,#B0BF1A
Aero,#7CB9E8
Aqua,#00FFFF
Blue,#0000FF
Bole,#79443B
Bone,#E3DAC9
Buff,#F0DC82
Corn,#FBEC5D
Cyan,#00FFFF
Drab,#967117
Ecru,#C2B280
Erin,#00FF40
Fawn,#E5AA70
Flax,#EEDC82
Gold,#A57C00
Gray,#808080
Iris,#5A4FCF
Jade,#00A86B
Kobe,#882D17
Kobi,#E79FC4
Lava,#CF1020
Lime,#00FF00
Lion,#C19A6B
Ming,#36747D
Mint,#3EB489
Onyx,#353839
Opal,#A8C3BC
Pear,#D1E231
Pink,#FFC0CB
Plum,#8E4585
Puce,#CC8899
Rose,#FF007F
Ruby,#E0115F
Rust,#B7410E
Sage,#BCB88A
Sand,#C2B280
Snow,#FFFAFA
Soap,#CEC8EF
Teal,#008080
Volt,#CEFF00
Wine,#722F37
Zomp,#39A78E
Amber,#FFBF00
Azure,#007FFF
Beige,#F5F5DC
Black,#000000
Blond,#FAF0BE
Blush,#DE5D83
Brown,#88540B
Cadet,#536872
Camel,#C19A6B
Capri,#00BFFF
Coral,#FF7F50
Cream,#FFFDD0
Denim,#1560BD
Ebony,#555D50
Flame,#E25822
Flesh,#FFE9D1
Flirt,#A2006D
Green,#00ff00
Ivory,#FFFFF0
Khaki,#C3B091
Lemon,#FFF700
Lilac,#C8A2C8
Linen,#FAF0E6
Liver,#674C47
Livid,#6699CC
Maize,#FBEC5D
Mango,#FDBE02
Mauve,#E0B0FF
Melon,#FEBAAD
Ochre,#CC7722
Olive,#808000
Peach,#FFE5B4
Peach,#FFCBA4
Pearl,#EAE0C8
Phlox,#DF00FF
Prune,#701C1C
Rajah,#FBAB60
Ruber,#CE4676
Sepia,#704214
Smoke,#738276
Straw,#E4D96F
Sunny,#F2F27A
Taupe,#483C32
Tooth,#FFFAFA
Topaz,#FFC87C
Tulip,#FF878D
Umber,#635147
Vodka,#BFC0EE
Wenge,#645452
Wheat,#F5DEB3
White,#FFFFFF
Almond,#EFDECD
Auburn,#A52A2A
Beaver,#9F8170
Bisque,#FFE4C4
Bistre,#3D2B1F
Brandy,#87413F
Bronze,#CD7F32
Canary,#FFFF99
Cerise,#DE3163
CG red,#E03C31
Cherry,#DE3163
Citron,#9FA91F
Claret,#7F1734
Coffee,#6F4E37
Copper,#B87333
Desert,#C19A6B
Fallow,#C19A6B
Grullo,#A99A86
Indigo,#4B0082
Keppel,#3AB09E
Lotion,#FEFDFA
Manila,#E7C9A9
Mantis,#74C365
Maroon,#800000
Mystic,#D65282
Nickel,#727472
Nyanza,#E9FFDB
Orange,#FF6600
Orchid,#DA70D6
Purple,#6A0DAD
Purple,#800080
Rhythm,#777696
Rufous,#A81C07
Russet,#80461B
Salmon,#FA8072
Shadow,#8A795D
Shandy,#FFE670
Sienna,#882D17
Silver,#C0C0C0
Sponge,#FDFE03
Stizza,#990000
Sunray,#E3AB57
Sunset,#FAD6A5
Tomato,#FF6347
Tuscan,#FAD6A5
UA red,#D9004C
UE red,#BA0001
Violet,#8F00FF
Yellow,#FFFF00
Zaffre,#0014A8
Apricot,#FBCEB1
Avocado,#568203
Bubbles,#E7FEFF
Carmine,#960018
Catawba,#703642
Celadon,#ACE1AF
Celeste,#B2FFFF
CG blue,#007AA5
Citrine,#E4D00A
Coconut,#965A3E
